Date,Portfolio_Value,Position
2022-03-14,999.0,0
2022-03-15,1040.8533845196782,0
2022-03-16,1095.9743154933753,0
2022-03-17,1102.8384149245553,0
2022-03-18,1125.5262775446079,0
2022-03-21,1124.4007512670632,0
2022-03-22,1132.1465129882695,0
2022-03-23,1103.8437119789567,0
2022-03-24,1157.5602737561471,0
2022-03-25,1152.7452066870887,0
2022-03-28,1161.118918443145,0
2022-03-29,1187.3700765022463,0
2022-03-30,1152.9128689546594,0
2022-03-31,1129.550751136993,0
2022-04-01,1111.2545408992914,0
2022-04-04,1129.5925361257957,0
2022-04-05,1080.8584425290546,0
2022-04-06,1058.5011231140027,0
2022-04-07,1058.6684589363483,0
2022-04-08,1033.5059304136469,0
2022-04-11,1010.2693634295237,0
2022-04-12,1004.8265421927501,0
2022-04-13,1028.6911245007686,0
2022-04-14,997.3740588617028,0
2022-04-18,1014.4561540185068,0
2022-04-19,1036.0599725651655,0
2022-04-20,1034.1757960153898,0
2022-04-21,1005.8314058844094,0
2022-04-22,982.7621747226319,0
2022-04-25,999.7605040346956,0
2022-04-26,957.1391625655159,0
2022-04-27,952.5336733309208,0
2022-04-28,1006.9199048427191,0
2022-04-29,962.3308168461584,0
2022-05-02,990.3402741762671,0
2022-05-03,998.4626231090575,0
2022-05-04,1032.7104486893159,0
2022-05-05,984.2275873377506,0
2022-05-06,974.1374918775796,0
2022-05-09,924.8172332347907,0
2022-05-10,948.7237311097019,0
2022-05-11,919.6255789541484,0
2022-05-12,923.9799012326121,0
2022-05-13,972.4208470172846,0
2022-05-16,956.7204639199041,0
2022-05-17,1002.481947297605,0
2022-05-18,954.5852509920873,0
2022-05-19,954.8364179482184,0
2022-05-20,955.2969668716779,0
2022-05-23,962.9587668810086,0
2022-05-24,937.545006113131,0
2022-05-25,957.0553967207757,0
2022-05-26,989.0423932506291,0
2022-05-27,1028.2725564332468,0
2022-05-31,1024.0020652885682,0
2022-06-01,1007.1711370878953,0
2022-06-02,1042.7586938716395,0
2022-06-03,1012.0278585676662,0
2022-06-06,1012.8651905698449,0
2022-06-07,1020.9456239357424,0
2022-06-08,999.6768687680452,0
2022-06-09,973.0907779080725,0
2022-06-10,937.0845224787164,0
2022-06-13,885.0010355842157,0
2022-06-14,891.4904402124063,0
2022-06-15,907.8189692117722,0
2022-06-16,854.0188374569763,0
2022-06-17,861.0107065755192,0
2022-06-21,885.4196036517375,0
2022-06-22,872.9430630185734,0
2022-06-23,868.4213396287189,0
2022-06-24,905.0137601041224,0
2022-06-27,901.9992996072344,0
2022-06-28,879.2650012463283,0
2022-06-29,863.774000116276,0
2022-06-30,852.9721234874693,0
2022-07-01,820.5664936010489,0
2022-07-05,824.87890031262,0
2022-07-06,830.4891226607846,0
2022-07-07,868.8400382743307,0
2022-07-08,873.529228064621,0
2022-07-11,852.5953404087503,0
2022-07-12,852.2603423188339,0
2022-07-13,859.0011097702907,0
2022-07-14,877.1297883185116,0
2022-07-15,899.27792163337,0
2022-07-18,892.6209200266537,0
2022-07-19,933.4000658019954,0
2022-07-20,955.3807327164184,0
2022-07-21,971.4160486146702,0
2022-07-22,949.4355122783375,0
2022-07-25,943.573992395952,0
2022-07-26,929.3389566246454,0
2022-07-27,972.8395456628963,0
2022-07-28,983.745321776275,0
2022-07-29,983.745321776275,0
2022-08-01,983.745321776275,0
2022-08-02,983.745321776275,0
2022-08-03,982.7615764544988,0
2022-08-04,992.7582935889714,0
2022-08-05,985.9994393669735,0
2022-08-08,968.9602978170265,0
2022-08-09,928.4065413472848,0
2022-08-10,966.0057526429264,0
2022-08-11,965.803472992338,0
2022-08-12,993.0820672574637,0
2022-08-15,997.5746320275658,0
2022-08-16,986.3231499216904,0
2022-08-17,965.1558625415778,0
2022-08-18,978.6333675105577,0
2022-08-19,951.0713292795064,0
2022-08-22,917.924100596298,0
2022-08-23,923.8735837608405,0
2022-08-24,923.2664292401979,0
2022-08-25,954.2686731480878,0
2022-08-26,901.2087327148434,0
2022-08-29,884.4934910609397,0
2022-08-30,874.3752167947877,0
2022-08-31,868.4257967440209,0
2022-09-01,849.4440131831195,0
2022-09-02,841.1066834350021,0
2022-09-06,831.7168683660699,0
2022-09-07,844.9920305706861,0
2022-09-08,856.4457923271497,0
2022-09-09,877.6940546812733,0
2022-09-12,879.8795585004846,0
2022-09-13,827.5077475618936,0
2022-09-14,836.4926877607713,0
2022-09-15,821.598720327469,0
2022-09-16,825.2817246987893,0
2022-09-19,830.7050914304752,0
2022-09-20,819.2108106301181,0
2022-09-21,812.3709183203341,0
2022-09-22,789.868017222359,0
2022-09-23,778.5760160725902,0
2022-09-26,769.5102271272526,0
2022-09-27,775.3382793876665,0
2022-09-28,785.2135656180104,0
2022-09-29,760.4847047707062,0
2022-09-30,749.2332857786064,0
2022-10-03,776.107194515004,0
2022-10-04,809.295005355881,0
2022-10-05,817.3086245492818,0
2022-10-06,811.7233078695738,0
2022-10-07,763.3178190406778,0
2022-10-10,737.8199168384847,0
2022-10-11,714.5480374993961,0
2022-10-12,710.2579417212088,0
2022-10-13,731.9918014642953,0
2022-10-14,700.7872147920414,0
2022-10-17,717.3810886555921,0
2022-10-18,717.5429754898382,0
2022-10-19,723.3306980476855,0
2022-10-20,729.0777753340884,0
2022-10-21,754.2114479376714,0
2022-10-24,756.5992945212466,0
2022-10-25,768.5792358243422,0
2022-10-26,761.0512771336801,0
2022-10-27,751.5402836157215,0
2022-10-28,780.2354034589453,0
2022-10-31,765.8270965283815,0
2022-11-01,771.129032355939,0
2022-11-02,749.0309430142424,0
2022-11-03,740.248282465953,0
2022-11-04,774.6502130067885,0
2022-11-07,789.9488659688186,0
2022-11-08,806.9880706325413,0
2022-11-09,785.0517418975398,0
2022-11-10,865.2689088055569,0
2022-11-11,892.7466777759696,0
2022-11-14,892.7466777759696,0
2022-11-15,892.7466777759696,0
2022-11-16,892.7466777759696,0
2022-11-17,891.8539310981936,0
2022-11-18,893.4819503090508,0
2022-11-21,877.8525215910798,0
2022-11-22,903.3725002353148,0
2022-11-23,911.227867471671,0
2022-11-25,900.5234348810475,0
2022-11-28,879.2770542682138,0
2022-11-29,876.8757100645655,0
2022-11-30,925.9710828214776,0
2022-12-01,925.0451117386561,0
2022-12-02,912.3308730606907,0
2022-12-05,901.4504206405289,0
2022-12-06,881.6861739497073,0
2022-12-07,881.48250465088,0
2022-12-08,903.9362663913956,0
2022-12-09,896.6824619849858,0
2022-12-12,912.6568710335407,0
2022-12-13,927.856955462373,0
2022-12-14,911.8826099611812,0
2022-12-15,877.1628726422097,0
2022-12-16,870.3574584300359,0
2022-12-19,860.0580195509592,0
2022-12-20,855.8541708379094,0
2022-12-21,874.9775423715782,0
2022-12-22,838.7090922657985,0
2022-12-23,838.6266713358207,0
2022-12-27,823.6246640378605,0
2022-12-28,813.1562527202248,0
2022-12-29,839.6982069728962,0
2022-12-30,836.4011155843289,0
2023-01-03,829.9716475724243,0
2023-01-04,851.0733756150145,0
2023-01-05,835.8241055271209,0
2023-01-06,872.3810606615048,0
2023-01-09,891.3807690265253,0
2023-01-10,902.9620217672701,0
2023-01-11,913.5540962535541,0
2023-01-12,927.237114482416,0
2023-01-13,930.5755116570167,0
2023-01-17,935.1621241220943,0
2023-01-18,935.1621241220943,0
2023-01-19,934.2269619979721,0
2023-01-20,963.6410185923442,0
2023-01-23,963.6410185923442,0
2023-01-24,962.6773775737516,0
2023-01-25,963.6547718147161,0
2023-01-26,980.9225933581048,0
2023-01-27,974.487866724352,0
2023-01-30,951.1519748255912,0
2023-01-31,965.609623091007,0
2023-02-01,1010.1299829490573,0
2023-02-02,1010.1299829490573,0
2023-02-03,1010.1299829490573,0
2023-02-06,1009.1198529661084,0
2023-02-07,1039.4194353710175,0
2023-02-08,1018.035714796713,0
2023-02-09,1018.035714796713,0
2023-02-10,1017.0176790819163,0
2023-02-13,1031.2816786170797,0
2023-02-14,1031.2816786170797,0
2023-02-15,1031.2816786170797,0
2023-02-16,1030.2503969384627,0
2023-02-17,1016.1861028342763,0
2023-02-21,985.294880816869,0
2023-02-22,980.4812310092981,0
2023-02-23,1015.2232954247872,0
2023-02-24,997.0987912300415,0
2023-02-27,1001.5776076255981,0
2023-02-28,1002.0798577436196,0
2023-03-01,1002.7495891076276,0
2023-03-02,1011.6235135457371,0
2023-03-03,1025.352974237909,0
2023-03-06,1016.2279247407887,0
2023-03-07,1004.8844425391252,0
2023-03-08,1031.1712533614814,0
2023-03-09,1011.4142749332178,0
2023-03-10,995.0477752315057,0
2023-03-13,994.3780438674979,0
2023-03-14,1024.1390417694088,0
2023-03-15,1012.6281428617385,0
2023-03-16,1053.1466644942877,0
2023-03-17,1047.7888135822247,0
2023-03-20,1058.3370341603645,0
2023-03-21,1061.685690980404,0
2023-03-22,1054.8628470808092,0
2023-03-23,1081.8246257829242,0
2023-03-24,1081.8246257829242,0
2023-03-27,1081.8246257829242,0
2023-03-28,1081.8246257829242,0
2023-03-29,1081.8246257829242,0
2023-03-30,1081.8246257829242,0
2023-03-31,1081.8246257829242,0
2023-04-03,1081.8246257829242,0
2023-04-04,1081.8246257829242,0
2023-04-05,1081.8246257829242,0
2023-04-06,1081.8246257829242,0
2023-04-10,1081.8246257829242,0
2023-04-11,1080.7428011571412,0
2023-04-12,1061.5331218880256,0
2023-04-13,1070.0990756421247,0
2023-04-14,1068.9540715802839,0
2023-04-17,1068.190779128369,0
2023-04-18,1072.982574050716,0
2023-04-19,1062.8053631531752,0
2023-04-20,1063.9927360268068,0
2023-04-21,1053.094470721204,0
2023-04-24,1047.4545803393928,0
2023-04-25,1014.2512279131628,0
2023-04-26,1021.3329655752228,0
2023-04-27,1031.2133332543558,0
2023-04-28,1048.472347197925,0
2023-05-01,1056.4869833269988,0
2023-05-02,1047.327343136084,0
2023-05-03,1036.5139462219997,0
2023-05-04,1033.036761376593,0
2023-05-05,1054.8755300316511,0
2023-05-08,1060.7274606243204,0
2023-05-09,1044.3590417199434,0
2023-05-10,1052.8400616985555,0
2023-05-11,1043.5108808765103,0
2023-05-12,1042.3235733868478,0
2023-05-15,1069.632561024649,0
2023-05-16,1069.3781520020004,0
2023-05-17,1098.2987237030873,0
2023-05-18,1136.8026890969616,0
2023-05-19,1130.5266126986066,0
2023-05-22,1128.4642511545308,0
2023-05-23,1128.4642511545308,0
2023-05-24,1128.4642511545308,0
2023-05-25,1128.4642511545308,0
2023-05-26,1128.4642511545308,0
2023-05-30,1128.4642511545308,0
2023-05-31,1128.4642511545308,0
2023-06-01,1127.3357869033762,0
2023-06-02,1124.5655559936552,0
2023-06-05,1109.3729072791016,0
2023-06-06,1109.3729072791016,0
2023-06-07,1108.2635343718225,0
2023-06-08,1119.9507281525705,0
2023-06-09,1118.8307774244179,0
2023-06-12,1151.8989711875881,0
2023-06-13,1166.655690160472,0
2023-06-14,1166.655690160472,0
2023-06-15,1166.655690160472,0
2023-06-16,1166.655690160472,0
2023-06-20,1166.655690160472,0
2023-06-21,1166.655690160472,0
2023-06-22,1166.655690160472,0
2023-06-23,1166.655690160472,0
2023-06-26,1166.655690160472,0
2023-06-27,1166.655690160472,0
2023-06-28,1166.655690160472,0
2023-06-29,1166.655690160472,0
2023-06-30,1166.655690160472,0
2023-07-03,1166.655690160472,0
2023-07-05,1166.655690160472,0
2023-07-06,1166.655690160472,0
2023-07-07,1166.655690160472,0
2023-07-10,1166.655690160472,0
2023-07-11,1166.655690160472,0
2023-07-12,1166.655690160472,0
2023-07-13,1166.655690160472,0
2023-07-14,1166.655690160472,0
2023-07-17,1166.655690160472,0
2023-07-18,1166.655690160472,0
2023-07-19,1166.655690160472,0
2023-07-20,1166.655690160472,0
2023-07-21,1166.655690160472,0
2023-07-24,1166.655690160472,0
2023-07-25,1166.655690160472,0
2023-07-26,1166.655690160472,0
