Date,Portfolio_Value
2022-01-07,1000.0
2022-01-10,1000.0
2022-01-11,1000.0
2022-01-12,999.5
2022-01-13,974.0089307786972
2022-01-14,974.0089307786972
2022-01-18,974.0089307786972
2022-01-19,974.0089307786972
2022-01-20,974.0089307786972
2022-01-21,974.0089307786972
2022-01-24,974.0089307786972
2022-01-25,974.0089307786972
2022-01-26,974.0089307786972
2022-01-27,974.0089307786972
2022-01-28,973.5219263133079
2022-01-31,1004.6535844190998
2022-02-01,1011.4887985172608
2022-02-02,1019.7073657117352
2022-02-03,977.8754291200552
2022-02-04,977.8754291200552
2022-02-07,977.8754291200552
2022-02-08,977.3864914054952
2022-02-09,998.0979501687327
2022-02-10,975.0209773278243
2022-02-11,975.0209773278243
2022-02-14,975.0209773278243
2022-02-15,975.0209773278243
2022-02-16,974.5334668391606
2022-02-17,945.0740886188919
2022-02-18,945.0740886188919
2022-02-22,945.0740886188919
2022-02-23,945.0740886188919
2022-02-24,945.0740886188919
2022-02-25,944.6015515745825
2022-02-28,947.415095729587
2022-03-01,932.4424250790494
2022-03-02,932.4424250790494
2022-03-03,932.4424250790494
2022-03-04,932.4424250790494
2022-03-07,932.4424250790494
2022-03-08,932.4424250790494
2022-03-09,932.4424250790494
2022-03-10,931.9762038665099
2022-03-11,912.1922331828385
2022-03-14,912.1922331828385
2022-03-15,912.1922331828385
2022-03-16,911.7361370662472
2022-03-17,922.7737085350291
2022-03-18,941.6611127403704
2022-03-21,939.0428308866391
2022-03-22,957.4976283260139
2022-03-23,943.7370905157147
2022-03-24,964.7133387462959
2022-03-25,963.9085297512099
2022-03-28,978.8226020570091
2022-03-29,995.6676979591351
2022-03-30,984.6701455403529
2022-03-31,972.4653378554033
2022-04-01,970.61451945323
2022-04-04,990.5983119532366
2022-04-05,968.6027893802858
2022-04-06,947.573154567346
2022-04-07,949.8261685993692
2022-04-08,936.5484493484597
2022-04-11,914.3922657459698
2022-04-12,910.5295501766979
2022-04-13,929.0379012925857
2022-04-14,907.7935504911305
2022-04-18,908.4909179448813
2022-04-19,928.7964502393523
2022-04-20,915.2505448704914
2022-04-21,896.3129288717266
2022-04-22,872.405794448111
2022-04-25,871.969591550887
2022-04-26,838.6375086600762
2022-04-27,838.218189905746
2022-04-28,867.9882922768002
2022-04-29,828.9298790630932
2022-05-02,842.7697449239266
2022-05-03,843.6694565400732
2022-05-04,872.1958205190742
2022-05-05,828.2683651906864
2022-05-06,818.3451625763976
2022-05-09,785.9325358942409
2022-05-10,785.5395696262939
2022-05-11,762.2418835977685
2022-05-12,760.0593402615614
2022-05-13,759.6793105914306
2022-05-16,750.8733464077956
2022-05-17,770.3220742562506
2022-05-18,732.1402738088483
2022-05-19,731.774203671944
2022-05-20,729.5000786502098
2022-05-23,741.6297686434411
2022-05-24,725.861148039687
2022-05-25,736.0197407803212
2022-05-26,756.4127225581295
2022-05-27,781.1018510171863
