Date,Portfolio_Value,Position
2025-01-02,1000.0,1
2025-01-03,1000.0,1
2025-01-06,1000.0,1
2025-01-07,1000.0,1
2025-01-08,1000.0,1
2025-01-10,1000.0,1
2025-01-13,999.0,1
2025-01-14,998.051520470728,1
2025-01-15,1019.9919256531532,1
2025-01-16,1019.9919256531532,1
2025-01-17,1019.9919256531532,1
2025-01-21,1019.9919256531532,1
2025-01-22,1019.9919256531532,1
2025-01-23,1019.9919256531532,1
2025-01-24,1019.9919256531532,1
2025-01-27,1018.9719337275001,1
2025-01-28,1032.9982605666492,1
2025-01-29,1032.9982605666492,1
2025-01-30,1032.9982605666492,1
2025-01-31,1032.9982605666492,1
2025-02-03,1032.9982605666492,1
2025-02-04,1032.9982605666492,1
2025-02-05,1032.9982605666492,1
2025-02-06,1032.9982605666492,1
2025-02-07,1032.9982605666492,1
2025-02-10,1032.9982605666492,1
2025-02-11,1032.9982605666492,1
2025-02-12,1032.9982605666492,1
2025-02-13,1032.9982605666492,1
2025-02-14,1032.9982605666492,1
2025-02-18,1032.9982605666492,1
2025-02-19,1032.9982605666492,1
2025-02-20,1032.9982605666492,1
2025-02-21,1032.9982605666492,1
2025-02-24,1032.9982605666492,1
2025-02-25,1032.9982605666492,1
2025-02-26,1032.9982605666492,1
2025-02-27,1032.9982605666492,1
2025-02-28,1031.9652623060824,1
2025-03-03,1008.3738729373808,1
2025-03-04,1007.3654990644435,1
2025-03-05,1020.4975316707811,1
2025-03-06,992.4242597290363,1
2025-03-07,999.7220976689397,1
2025-03-10,960.9764941649462,1
2025-03-11,958.6793856349361,1
2025-03-12,969.4940555425246,1
2025-03-13,952.0523583081427,1
2025-03-14,975.0639519457218,1
2025-03-17,981.3859862837444,1
2025-03-18,964.6559186467101,1
2025-03-19,977.5643477153444,1
2025-03-20,974.2508029872718,1
2025-03-21,977.4626419661862,1
