Date,Open,High,Low,Close,Volume
2024-01-02,402.84171215039225,403.0898651884032,397.2830780405233,399.61572265625,58026900
2024-01-03,396.9753619804944,398.0374642299696,394.95045504511097,395.3871765136719,47002800
2024-01-04,393.5111775418863,396.63789987016224,393.1339800643706,393.3523559570313,39432800
2024-01-05,393.5211371343862,396.6081466799403,392.4193217891686,393.8189086914063,44867900
2024-01-08,395.0497404226151,402.2461792485698,394.90085464326114,401.9583435058594,42473800
2024-01-09,398.9407533453347,403.6854382166415,398.7422187982365,402.75238037109375,39132900
2024-01-10,403.0700457909873,406.49453972667374,402.1767008639439,405.4820861816406,33962800
2024-01-11,406.7625880010144,408.16217492780896,401.2535717625094,406.3258361816406,54536200
2024-01-12,407.3680618963152,408.2117883683885,405.1346843307738,406.5342712402344,39581400
2024-01-16,405.2934546455613,408.0826922955766,403.82437779427454,406.4945068359375,43903000
2024-01-17,403.16927382002206,404.5787660518419,399.94328446434014,404.2015686035156,54386000
2024-01-18,407.4871201217249,410.5245108118268,406.1371821670655,409.9388732910156,59562500
2024-01-19,412.1524297930296,418.22721147612486,411.5667922430183,418.0683898925781,70268500
2024-01-22,420.2819305726181,421.5921859321853,418.0088401780519,418.6143493652344,44880600
2024-01-23,419.3091185232333,420.569755266336,417.46287457334313,420.3513793945313,33003800
2024-01-24,424.28217295187216,426.674372055235,422.187745399915,422.6840515136719,46948000
2024-01-25,425.1953557925735,425.870355123826,420.8477397166701,423.2002258300781,44367200
2024-01-26,421.3043055826492,423.0612181922162,420.02382742062906,420.678955078125,37137000
2024-01-29,421.13556777092185,425.18544251610695,420.48044008296193,424.9869079589844,38694700
2024-01-30,423.9446791299793,424.5203808807755,421.2447727186817,422.157958984375,36739000
2024-01-31,417.7408358983897,419.74590156748536,413.71083292993256,413.8894958496094,64010600
2024-02-01,415.6961068245224,419.2595812883965,414.72333588121046,418.7632751464844,51008600
2024-02-02,420.6690447199256,427.0614698097153,419.6665269811323,425.840576171875,59582300
2024-02-05,425.9001131880756,426.4361019522378,421.86017436580494,425.2846984863281,39889200
2024-02-06,426.4361572569248,427.0416665140926,422.0786049955392,424.43109130859375,35846100
2024-02-07,427.23020904430734,429.63231353953967,425.9199537057518,428.7985229492188,37712700
2024-02-08,428.9176825049018,430.35698244363766,428.2328078928952,429.5926818847656,29889900
2024-02-09,430.7341271683116,434.615244385319,429.9400495497214,433.8211364746094,36943900
2024-02-12,433.7119648304013,435.8957237255149,431.43887447486753,432.123779296875,33203300
2024-02-13,424.1233350750162,428.0838480172426,422.1877291888388,425.3839416503906,64491700
2024-02-14,428.0739587316172,430.4462862023667,425.7115367844957,430.01947021484375,45092700
2024-02-15,430.7142892083879,431.7664556927263,428.1433970126776,431.2999267578125,38796100
2024-02-16,431.6771300185272,431.77636700387006,426.67435609717256,427.3890380859375,53661500
2024-02-20,425.3839490471561,426.9026445116606,420.37126952037295,424.1630554199219,53999500
2024-02-21,421.4135012064581,422.5550294804839,418.5150905198182,422.4656677246094,50179700
2024-02-22,431.28007991981656,435.87587941064345,430.50584358886897,434.8336486816406,53887800
2024-02-23,436.4019845466497,437.3350425168609,432.57051567111625,433.5531921386719,39853900
2024-02-26,434.36712064247854,435.3597328787309,433.13626087088295,433.3248596191406,33043200
2024-02-27,434.43655554750137,434.7541684007177,431.81604503667216,434.3670654296875,33713200
2024-02-28,432.213112354636,433.44397205103047,431.0914557494604,432.0542907714844,32938800
2024-02-29,434.9924743800023,436.83871861271865,431.80616726799695,435.75677490234375,42495200
2024-03-01,436.65012463825656,443.2807672273285,436.5905703263642,442.3179321289063,43809200
2024-03-04,442.3179349179366,442.7447812120192,440.4915319934369,440.73968505859375,34325700
2024-03-05,437.6824406075132,437.6923764233258,430.4462889444193,432.82855224609375,57917100
2024-03-06,437.067035382182,438.7246808844075,433.6623826177155,435.54833984375,46234500
2024-03-07,439.1515351941092,443.4197558515967,437.603032179318,442.1591491699219,44526700
2024-03-08,442.5164568673743,445.3255664484289,435.1016422802562,435.776611328125,71954300
2024-03-11,434.2777695048875,435.41926746644725,432.22305499880775,434.1586608886719,45860000
2024-03-12,436.4813656143289,440.7396500639856,433.2355043928397,440.38232421875,55300900
2024-03-13,439.3798220199932,439.3996936526575,435.8759018646458,436.99755859375,37928700
2024-03-14,438.2383022903819,438.7643855638928,433.16606830352464,435.895751953125,52195200
2024-03-15,432.8484352505753,435.6277374602,429.5430194630024,430.7143249511719,73038800
2024-03-18,436.0646105103152,438.3605742247722,434.5836420272337,434.82220458984375,47323800
2024-03-19,432.8045382910624,436.31309139477713,430.6973923723623,435.9055786132813,43004100
2024-03-20,437.1081943269805,441.41187484295807,435.3986426649936,441.0739440917969,43653500
